tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,alt_rank,az_rank,electrometer_filename,flag,mount_filename
20241002225123,2024-10-02 22:51:23.204331,1,,0.930713,SDSSg,78.87528,-38.83379,-2.1274500000000002e-07,1.393866277660805e-09,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_1.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_1
20241002225127,2024-10-02 22:51:27.259435,2,,0.930061,SDSSg,69.35776,-22.06075,-2.413088e-07,3.1691296218362477e-09,,,2,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_2.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_2
20241002225131,2024-10-02 22:51:31.313259,3,,0.929564,SDSSg,59.53482,-5.90967,-2.858892e-07,4.5654712527843135e-09,,,3,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_3.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_3
20241002225319,2024-10-02 22:53:19.431610,4,,0.930425,SDSSg,75.82732,0.0,-1.69294e-07,1.2688730432947175e-09,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_4.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_4
20241002225323,2024-10-02 22:53:23.487329,5,,0.929714,SDSSg,66.50634,0.0,-1.829749e-07,1.854265916744415e-09,,,2,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_5.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_5
20241002225327,2024-10-02 22:53:27.543780,6,,0.929741,SDSSg,56.76315,0.0,-2.136549e-07,3.443137332433896e-09,,,3,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_6.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_6
20241002225331,2024-10-02 22:53:31.588381,7,,0.930474,SDSSg,46.96971,0.0,-2.652725e-07,5.367579216928243e-09,,,4,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_7.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_7
20241002225335,2024-10-02 22:53:35.638894,8,,0.929303,SDSSg,37.15829,0.0,-3.429512e-07,8.257617450572535e-09,,,5,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_8.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_8
20241002225347,2024-10-02 22:53:47.532425,9,10.478578748648925,10.626472,SDSSg,75.64824,0.0,-2.32536525e-07,6.616379406839479e-08,,,0,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_9.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_9
20241002225403,2024-10-02 22:54:03.226472,10,,0.929841,SDSSg,77.96788,-30.31065,-1.5315159999999997e-07,1.705622478744927e-09,,,1,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_10.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_10
20241002225407,2024-10-02 22:54:07.277292,11,,0.929424,SDSSg,68.0652,-30.31065,-1.748155e-07,2.2444562481812846e-09,,,2,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_11.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_11
20241002225411,2024-10-02 22:54:11.326450,12,,0.929254,SDSSg,55.56078,-30.31065,-2.122042e-07,4.190824782784409e-09,,,3,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_12.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_12
20241002225415,2024-10-02 22:54:15.371621,13,,0.929326,SDSSg,45.90999,-30.31065,-2.834613e-07,8.283625800940079e-09,,,4,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241002_13.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241002_13
