tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,alt_rank,az_rank,electrometer_filename,flag,mount_filename
20241003171955,2024-10-03 17:19:55.904814,1,,0.930162,Empty,75.73522,0.0,-2.67081e-06,8.938870616023033e-07,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_1.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_1
20241003171959,2024-10-03 17:19:59.959763,2,,0.929708,Empty,66.00568,0.0,-4.46554e-06,5.560226329925788e-07,,,2,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_2.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_2
20241003172004,2024-10-03 17:20:04.007556,3,,0.930139,Empty,55.5235,0.0,-9.03375e-06,6.077050682691368e-08,,,3,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_3.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_3
20241003172008,2024-10-03 17:20:08.055688,4,,0.931051,Empty,45.00138,0.0,-4.91338e-06,5.888083623726824e-07,,,4,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_4.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_4
20241003172012,2024-10-03 17:20:12.101936,5,,0.929213,Empty,34.65467,0.0,-2.572e-07,5.2724529395718655e-08,,,5,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_5.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_5
20241003172024,2024-10-03 17:20:24.852826,6,10.940082082360613,11.230802,Empty,71.91779,0.0,-4.200831348623854e-06,3.1812151782346653e-06,,,0,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_6.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_6
20241003172040,2024-10-03 17:20:40.960926,7,,0.929676,Empty,77.95042,-31.60602,-2.14844e-06,7.686987969289402e-07,,,1,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_7.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_7
20241003172045,2024-10-03 17:20:45.011352,8,,0.929816,Empty,67.44591,-31.60602,-5.1488600000000005e-06,5.703671961114174e-07,,,2,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_8.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_8
20241003172049,2024-10-03 17:20:49.058682,9,,0.929423,Empty,56.90099,-31.60602,-9.085000000000002e-06,6.285254171471481e-08,,,3,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_9.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_9
20241003172053,2024-10-03 17:20:53.105472,10,,0.929827,Empty,46.37665,-31.60602,-4.31305e-06,5.77496978779976e-07,,,4,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241003_10.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241003_10
