tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag
20240925161256,2024-09-25 16:12:56.685001,32,,0.930396,Empty,14.15179,0.0,-9.099450000000001e-14,1.7254416560695408e-14,,,/home/estevesjh/Documents/keysighB2987A/202409/20240925_32.npy,False
20240925161312,2024-09-25 16:13:12.901672,33,,0.929734,Empty,5.53557,0.0,-8.3872e-14,1.592832561194051e-14,,,/home/estevesjh/Documents/keysighB2987A/202409/20240925_33.npy,False
20240925182834,2024-09-25 18:28:34.998422,34,,0.929264,Empty,48.66626,0.0,-2.544894e-06,7.696752561959255e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_34.npy,False
20240925182841,2024-09-25 18:28:41.962550,35,,0.92961,Empty,39.32172,0.0,-2.4493210000000004e-06,1.6813387523039644e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_35.npy,False
20240925182848,2024-09-25 18:28:48.913715,36,,0.929601,Empty,29.90781,0.0,-2.459274e-06,7.130217387988432e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_36.npy,False
20240925182855,2024-09-25 18:28:55.861165,37,,0.929391,Empty,20.55038,0.0,-2.3766200000000004e-06,8.282511696345147e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_37.npy,False
20240925182904,2024-09-25 18:29:04.181559,38,,0.929445,Empty,11.23657,0.0,-2.0925875e-06,9.739035116477879e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_38.npy,False
20240925182912,2024-09-25 18:29:12.502026,39,,0.929709,Empty,1.91467,0.0,-1.8239582e-06,5.76949183204226e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_39.npy,False
20240925183338,2024-09-25 18:33:38.819119,40,,0.92965,Empty,69.2543,0.0,-1.3581647e-06,2.340149781531188e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_40.npy,False
20240925183345,2024-09-25 18:33:45.762005,41,,0.92988,Empty,59.74897,0.0,-2.105041e-06,4.076873802314625e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_41.npy,False
20240925183352,2024-09-25 18:33:52.713070,42,,0.929444,Empty,50.27444,0.0,-2.48602e-06,5.172813547770996e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_42.npy,False
20240925183359,2024-09-25 18:33:59.662517,43,,0.929931,Empty,40.81844,0.0,-2.433345e-06,8.85880917505275e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_43.npy,False
