tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag
20240924230536,2024-09-24 23:05:36.006691,40,,0,Empty,78.18616,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_40.npy,false
20240924230539,2024-09-24 23:05:39.036256,41,,0,Empty,66.21785,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_41.npy,false
20240924230542,2024-09-24 23:05:42.059827,42,,0,Empty,58.51832,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_42.npy,false
20240924230545,2024-09-24 23:05:45.086074,43,,0,Empty,51.5086,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_43.npy,false
20240924230548,2024-09-24 23:05:48.113553,44,,0,Empty,43.8417,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_44.npy,false
20240924230551,2024-09-24 23:05:51.130663,45,,0,Empty,36.25608,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_45.npy,false
20240924230604,2024-09-24 23:06:04.563275,46,13.108273170731708,0,Empty,80.99396,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_46.npy,True
20240924230617,2024-09-24 23:06:17.517892,47,,0,Empty,79.48382,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_47.npy,false
20240924230620,2024-09-24 23:06:20.545191,48,,0,Empty,71.774,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_48.npy,false
20240924230623,2024-09-24 23:06:23.562976,49,,0,Empty,63.93968,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_49.npy,false
20240924230626,2024-09-24 23:06:26.589625,50,,0,Empty,56.74134,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_50.npy,false
20240924230629,2024-09-24 23:06:29.616936,51,,0,Empty,48.90024,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_51.npy,false
20240924230632,2024-09-24 23:06:32.644635,52,,0,Empty,41.06394,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_52.npy,false
20240924230644,2024-09-24 23:06:44.905340,53,11.935624390243904,0,Empty,78.03924,29.88386,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_53.npy,True
20240924230657,2024-09-24 23:06:57.860626,54,,0,Empty,79.21233,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_54.npy,false
20240924230700,2024-09-24 23:07:00.889265,55,,0,Empty,71.39959,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_55.npy,false
20240924230703,2024-09-24 23:07:03.917154,56,,0,Empty,64.19912,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_56.npy,false
20240924230706,2024-09-24 23:07:06.935203,57,,0,Empty,56.39415,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_57.npy,false
20240924230709,2024-09-24 23:07:09.953319,58,,0,Empty,48.62296,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_58.npy,false
20240924230712,2024-09-24 23:07:12.980883,59,,0,Empty,40.8558,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_59.npy,false
20240924230726,2024-09-24 23:07:26.295032,60,12.988746341463417,0,Empty,85.79534,59.63728,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_60.npy,True
20240924230739,2024-09-24 23:07:39.249707,61,,0,Empty,81.13439,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_61.npy,false
20240924230742,2024-09-24 23:07:42.267741,62,,0,Empty,73.30427,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_62.npy,false
20240924230745,2024-09-24 23:07:45.295602,63,,0,Empty,65.41117,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_63.npy,false
20240924230748,2024-09-24 23:07:48.323234,64,,0,Empty,58.01423,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_64.npy,false
20240924230751,2024-09-24 23:07:51.350536,65,,0,Empty,50.09978,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_65.npy,false
20240924230754,2024-09-24 23:07:54.377483,66,,0,Empty,42.2692,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_66.npy,false
20240924230806,2024-09-24 23:08:06.344034,67,11.641658536585368,0,Empty,83.07186,89.25125,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_67.npy,True
20240924230819,2024-09-24 23:08:19.299119,68,,0,Empty,79.72192,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_68.npy,false
20240924230822,2024-09-24 23:08:22.326688,69,,0,Empty,71.91176,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_69.npy,false
20240924230825,2024-09-24 23:08:25.355170,70,,0,Empty,64.03193,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_70.npy,false
20240924230828,2024-09-24 23:08:28.382902,71,,0,Empty,56.16894,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_71.npy,false
20240924230831,2024-09-24 23:08:31.410944,72,,0,Empty,48.3918,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_72.npy,false
20240924230834,2024-09-24 23:08:34.436745,73,,0,Empty,41.25141,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_73.npy,false
20240924230846,2024-09-24 23:08:46.647928,74,11.8899,0,Empty,81.27651,118.48419,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_74.npy,True
20240924230859,2024-09-24 23:08:59.603441,75,,0,Empty,79.7826,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_75.npy,false
20240924230902,2024-09-24 23:09:02.632490,76,,0,Empty,71.90757,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_76.npy,false
20240924230905,2024-09-24 23:09:05.661153,77,,0,Empty,63.96987,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_77.npy,false
20240924230908,2024-09-24 23:09:08.690995,78,,0,Empty,56.05588,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_78.npy,false
20240924230911,2024-09-24 23:09:11.720002,79,,0,Empty,48.11261,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_79.npy,false
20240924230914,2024-09-24 23:09:14.748172,80,,0,Empty,40.83415,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_80.npy,false
20240924230927,2024-09-24 23:09:27.064861,81,11.991670731707318,0,Empty,82.14479,147.93516,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_81.npy,True
20240924230940,2024-09-24 23:09:40.012276,82,,0,Empty,79.72115,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_82.npy,false
20240924230943,2024-09-24 23:09:43.040198,83,,0,Empty,71.81944,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_83.npy,false
20240924230946,2024-09-24 23:09:46.068636,84,,0,Empty,60.24956,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_84.npy,false
20240924230949,2024-09-24 23:09:49.080044,85,,0,Empty,52.30759,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_85.npy,false
20240924230952,2024-09-24 23:09:52.102879,86,,0,Empty,44.38346,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_86.npy,false
20240924230955,2024-09-24 23:09:55.128659,87,,0,Empty,36.43219,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_87.npy,false
20240924231008,2024-09-24 23:10:08.513464,88,13.065319512195124,0,Empty,83.57122,177.18639,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_88.npy,True
