tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,alt_rank,az_rank,electrometer_filename,flag,mount_filename
20240930225218,2024-09-30 22:52:18.745279,1,,0.929854,Empty,82.03493,0.0,-3.210886000000001e-07,2.984309709128733e-09,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_1.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_1
20240930225747,2024-09-30 22:57:47.656052,2,,0.929487,Empty,65.86891,0.0,-1.005071e-07,4.3752801053190005e-10,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_2.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_2
20240930225752,2024-09-30 22:57:52.341048,3,,0.929386,Empty,56.23908,0.0,-9.549898000000001e-08,1.28945568361226e-10,,,2,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_3.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_3
20240930225756,2024-09-30 22:57:56.994287,4,,0.929893,Empty,47.22046,0.0,-9.285032000000001e-08,1.192964190577415e-10,,,3,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_4.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_4
20240930225801,2024-09-30 22:58:01.669337,5,,0.929384,Empty,38.8864,0.0,-9.631141e-08,1.8450480454449088e-10,,,4,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_5.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_5
20240930225806,2024-09-30 22:58:06.343223,6,,0.929577,Empty,29.78788,0.0,-1.130571200000001e-07,4.57280099720073e-10,,,5,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_6.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_6
20240930225810,2024-09-30 22:58:10.993400,7,,0.929411,Empty,20.4698,0.0,-1.4688311e-07,2.753438490851032e-09,,,6,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_7.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_7
20240930225829,2024-09-30 22:58:29.316244,8,17.382550000000002,17.750639999999997,Empty,-46.688,0.0,-2.017464e-07,7.959077203546664e-08,,,0,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_8.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_8
20240930225844,2024-09-30 22:58:44.023107,9,,0.929895,Empty,-66.72095,-29.54582,-3.394687e-08,2.3410226419238387e-10,,,1,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_9.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_9
20240930225848,2024-09-30 22:58:48.673718,10,,0.929792,Empty,-74.7233,-29.54582,-3.147114e-08,2.652527850937656e-11,,,2,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_10.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_10
20240930225853,2024-09-30 22:58:53.336504,11,,0.930121,Empty,-84.21887,-29.54582,-3.5506700000000005e-08,2.2758630450885967e-10,,,3,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_11.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_11
20240930225858,2024-09-30 22:58:58.023458,12,,0.929854,Empty,-86.56506,-29.54582,-3.832967e-08,7.614616273982579e-11,,,4,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240930_12.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240930_12
