tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,alt_rank,az_rank,electrometer_filename,flag,mount_filename
20240926195355,2024-09-26 19:53:55.174283,1,,0.929716,Empty,82.11247,0.0,-1.3835304000000002e-05,1.5561561104207988e-08,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_1.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_1
20240926195359,2024-09-26 19:53:59.487396,2,,0.9291699999999999,Empty,73.22071,0.0,-1.4667333000000001e-05,6.973033343531366e-08,,,2,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_2.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_2
20240926195403,2024-09-26 19:54:03.823711,3,,0.929807,Empty,64.38339,0.0,-1.6568240999999997e-05,1.2758875659320476e-07,,,3,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_3.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_3
20240926195408,2024-09-26 19:54:08.135396,4,,0.928965,Empty,54.27196,0.0,-1.9592998999999998e-05,1.9217516605690797e-07,,,4,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_4.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_4
20240926195412,2024-09-26 19:54:12.299028,5,,0.921283,Empty,45.53116,0.0,-2.3247979999999997e-05,2.2955506006185117e-07,,,5,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_5.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_5
20240926195416,2024-09-26 19:54:16.464014,6,,0.920763,Empty,36.61973,0.0,-2.612996e-05,1.30587252057772e-07,,,6,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_6.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_6
20240926195430,2024-09-26 19:54:30.672702,7,13.3450675,13.614155,Empty,88.04813,0.0,-1.879070827067669e-05,4.464770074574648e-06,,,0,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_7.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_7
20240926195445,2024-09-26 19:54:45.010092,8,,0.929956,Empty,83.77478,-30.76442,-1.4384713e-05,4.0552654672659894e-08,,,1,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_8.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_8
20240926195449,2024-09-26 19:54:49.330692,9,,0.9393900000000001,Empty,73.06602,-30.76442,-1.5354132999999996e-05,5.980159145875678e-08,,,2,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_9.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_9
20240926195453,2024-09-26 19:54:53.642452,10,,0.9294990000000001,Empty,64.12852,-30.76442,-1.6575760000000002e-05,7.634699548770705e-08,,,3,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_10.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_10
20240926195457,2024-09-26 19:54:57.955199,11,,0.931037,Empty,55.35562,-30.76442,-1.8306079e-05,1.133880325651699e-07,,,4,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_11.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_11
20240926195502,2024-09-26 19:55:02.269098,12,,0.929363,Empty,44.53838,-30.76442,-3.96e+37,4.8499896907106925e+37,,,5,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240926_12.npy,false,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240926_12
