tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag,alt_rank,mount_filename
20240926001339,2024-09-26 00:13:39.661129,379,,0.929959,Empty,80.85269,24.8546,-1.6543413e-05,4.685608941439738e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_379.npy,false,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_379
20240926001343,2024-09-26 00:13:43.974828,380,,0.929799,Empty,71.45898,24.8546,-5.7848510000000004e-06,6.00606851034019e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_380.npy,false,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_380
20240926001348,2024-09-26 00:13:48.427289,381,,0.929413,Empty,62.36222,24.8546,-7.92e+37,3.96e+37,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_381.npy,false,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_381
20240926001352,2024-09-26 00:13:52.742769,382,,0.929831,Empty,51.75241,24.8546,-2.5895690000000004e-06,2.163383692274612e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_382.npy,false,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_382
20240926001357,2024-09-26 00:13:57.052096,383,,0.9299769999999999,Empty,42.61197,24.8546,-2.258159e-06,3.011368242178297e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_383.npy,false,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_383
20240926001401,2024-09-26 00:14:01.504798,384,,0.930138,Empty,33.32346,24.8546,-1.7948415e-06,1.5634261416837066e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_384.npy,false,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_384
20240926001416,2024-09-26 00:14:16.815353,385,14.4809125,14.750515,Empty,88.60284,24.8546,-6.062103868055555e-06,6.2467580427891765e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_385.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_385
20240926001431,2024-09-26 00:14:31.018166,386,,0.922229,Empty,81.46032,-6.27165,-1.988513e-05,4.5503450869137377e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_386.npy,false,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_386
20240926001435,2024-09-26 00:14:35.335472,387,,0.929362,Empty,72.53814,-6.27165,-8.455257e-06,6.748923436082233e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_387.npy,false,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_387
20240926001439,2024-09-26 00:14:39.787287,388,,0.9301499999999999,Empty,61.9689,-6.27165,-1.3624758e-06,8.350209575813064e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_388.npy,false,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_388
20240926001444,2024-09-26 00:14:44.246215,389,,0.929868,Empty,53.39514,-6.27165,-1.4848385e-06,3.7608214328787335e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_389.npy,false,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_389
20240926001448,2024-09-26 00:14:48.704051,390,,0.9294659999999999,Empty,43.11301,-6.27165,-1.5022976000000002e-06,7.290631248389794e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_390.npy,false,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_390
20240926001453,2024-09-26 00:14:53.149400,391,,0.930138,Empty,33.75604,-6.27165,-1.5210791000000001e-06,8.802886401629965e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_391.npy,false,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_391
20240926001508,2024-09-26 00:15:08.158825,392,14.06099,14.448393999999999,Empty,86.82617,-6.27165,-6.519064507142858e-06,7.563505712730631e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_392.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_392
